country,policy_description,Summary
Saudi Arabia,"Overall target on EE: Increase Energy efficiency (electricity) by 30 percent from 2005 levels by 2030.
The Program is a broad policy package covering a number of objectives: introduction of energy audits, energy efficiency labels, standards for appliances, a construction code, and technical management and training provision for a more efficient use of oil and gas.
""The programme implemented energy auditing in the industrial and commercial sectors among many other energy efficiency initiative in both industrial and residential facilities. Phase 2 of the NEEP was started in 2012 with a support from UNDP. The project focuses on four major outcomes with overall goal of capacity development for the new Saudi Energy Efficiency Centre: design of the first Energy Conservation Law and related action plans and regulations."" (http://www.unep.org/transport/airquality/SaudiArabia.pdf)","The policy aims to enhance energy efficiency in electricity by 30% from 2005 levels by 2030. It includes a comprehensive set of initiatives such as energy audits, efficiency labeling, appliance standards, a construction code, and training for better oil and gas management. Launched in 2012 with UNDP support, Phase 2 of the National Energy Efficiency Program (NEEP) seeks to develop capacity for the new Saudi Energy Efficiency Centre, focusing on creating the first Energy Conservation Law and associated"
Zambia,"This Act provides for the protection of forests, related carbon stock management, biodiversity and the fight against desertification. It establishes a Forest Development Fund and a Forest Management Plan. It details rules seeking to protect biodiversity, regulations on forest economic productions including timber and enforcement.","This Act aims to protect forests, manage carbon stocks, preserve biodiversity, and combat desertification. It establishes a Forest Development Fund and a Forest Management Plan, outlining regulations to safeguard biodiversity and govern economic activities related to forests, such as timber production, along with enforcement measures."
Italy,Applies a reduction to the tariffs that have been awarded under any Conto Energia to PV plants with a nominal peak power exceeding 200 kW,The policy reduces tariffs for photovoltaic (PV) plants with a nominal peak power exceeding 200 kW that are part of the Conto Energia program.
China,"The Customs Tariff on Import & Export Commodities of the People Republic of China used to apply a 30% duty on imported ethanol. To further comply with the WTO standards regarding import duties, the Committee on Custom Tariff decided to reduce the import duty on denatured ethanol, for fuel use also, from 30% to 5% starting from January 1st, 2010. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The People's Republic of China reduced the import duty on denatured ethanol for fuel use from 30% to 5% as of January 1, 2010, to align with WTO standards on import duties."
Brazil,Brazil has both environmental (pollution) and operational (impacts on energy efficiency) standards for diesel and gasoline.,"Brazil implements standards for diesel and gasoline that address both environmental concerns, specifically pollution control, and operational aspects, focusing on energy efficiency impacts."
Colombia,"This National Development policy includes Green Growth as one of its main pillars and sets out an investment plan covering energy, sustainable city development and climate resilience among others","This National Development policy prioritizes Green Growth and outlines an investment plan focused on energy, sustainable urban development, and climate resilience, among other key areas."
Australia,Fund developed as part of Australia's Technology Investment Roadmap will provide grants of up to AUD 25 million for pre-commercial CCS projects,"The policy outlines a fund established under Australia's Technology Investment Roadmap, which will offer grants of up to AUD 25 million for pre-commercial carbon capture and storage (CCS) projects."
Bhutan,"The 11th Five Year Plan includes a GHG emissions target of under 6.3 MtCO2e by 2018
It also includes ""Green accelerated economic development"" as one of its main pillars, focusing on economic diversification and development of the private sector with a focus on a transition to a green economy.","The 11th Five Year Plan sets a greenhouse gas (GHG) emissions target of under 6.3 MtCO2e by 2018. A key component of the plan is ""Green accelerated economic development,"" which emphasizes economic diversification and the growth of the private sector, aiming for a transition to a green economy."
Belgium,"The Belgian Federal government subscribes to the goal of the European Council and the European commission of 50% sustainable procurement procedures for all federal public procurements. Sustainable procurement procedures are compliant with the instructions given in the federal circulars concerning sustainable public procurement. There is a guide for public procurement of supplies and services available for the contracting authorities of the Federal Public Services. In this guide voluntary guidelines and technical requirements are included to promote and improve energy efficiency. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Belgian Federal government aims to achieve 50% sustainable procurement in all federal public procurements, aligning with the European Council and Commission's objectives. Sustainable procurement must adhere to federal circulars on sustainable public procurement. A guide for contracting authorities in the Federal Public Services provides voluntary guidelines and technical requirements to enhance energy efficiency."
Canada,The act mandates the development of annual Climate Change Plans to achieve target under Kyoto Protocol.,The policy requires the creation of annual Climate Change Plans aimed at meeting targets set by the Kyoto Protocol.
Germany,"In order to lead by example, the share of PEV bought by public authorities shall rise to at least 20 % of all new vehicle purchases. A budget of  100 million was dedicated to this purpose. This programme was applied at the local level, in a certain numbre of cities. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy aims to increase the share of plug-in electric vehicles (PEVs) purchased by public authorities to at least 20% of all new vehicle acquisitions. A budget of €100 million has been allocated for this initiative, which is implemented at the local level in various cities."
Uruguay,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their HFCs consumption by 2024 and progressively reduce it according to a specified schedule: 
- From 2024 to 2028, consumption must be at 100% of the baseline.
- From 2029 to 2034, it should decrease to 90%.
- From 2035 to 2039, it will further drop to 70%.
- From 2040 to 2044, it is set at"
Indonesia,"""This Regulation provides for the rehabilitation of unproductive land by means of reforestation, greening, maintenance and improvement of the quality of vegetation, plant enrichment and application of land preservation technology. It further provides for forest reclamation activities which aim at repairing or recovering damaged land with forest vegetation.The Government Regulation defines phases which must be conducted to undergo forest rehabilitation and forest reclamation.The Minister, Governor or Regent/Mayor, according to their respective authority, shall take action in managing, controlling and supervising the implementation of forest rehabilitation and reclamation activities.""","This regulation focuses on rehabilitating unproductive land through reforestation, greening, and improving vegetation quality. It includes activities for forest reclamation aimed at restoring damaged land. The regulation outlines necessary phases for forest rehabilitation and reclamation, and assigns the responsibility of managing and supervising these activities to the Minister, Governor, or Regent/Mayor, based on their authority."
Republic of Korea,"Tax reduction per vehicle (2016, 2017) (unit : KRW)
BEV ~4,000,000, PHEV ~2,700,000, HEV ~2,700,000, FCV ~7,200,000 (See reference below for details.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy provides tax reductions for different types of vehicles as follows: 

- Battery Electric Vehicles (BEV): approximately 4,000,000 KRW
- Plug-in Hybrid Electric Vehicles (PHEV): approximately 2,700,000 KRW
- Hybrid Electric Vehicles (HEV): approximately 2,700,000 KRW
- Fuel Cell Vehicles (FCV): approximately 7,200,000 KRW

These reductions apply to the years 2016 and"
Argentina,USD 99.44 million to reduce 10.7 MtCO2ee by the end of 2016 are the global benefits of the Energy Efficiency Project,"The Energy Efficiency Project has a budget of USD 99.44 million aimed at reducing 10.7 million tons of CO2 equivalent (MtCO2ee) by the end of 2016, contributing to global environmental benefits."
Algeria,"Executive
Main objective of the Algerian Renewable Energy and Energy Efficiency Development Plan is to expand usage of renewable energies and to diversify energy sources in the country.
Goals:
To install 22 000 MW of power generating capacity from renewable sources between 2011 and 2030 (of which 12 000 for internal usage and 10 000 MW for export);
To meet 20% of electricity generation from renewables by 2030
Renewable energy development will drive sustainable economic development of the country, increase energy security supply in Algeria and will have job-creation factor;
Solar energy (both solar PV and solar thermal) is recognized by the Algerian government as a primary renewable technology to be developed. The potential for wind, biomass, geothermal and hydropower energies is comparatively very small.
Combined, Algeria hopes to have more than 22 GW of renewable energy capacity installed by 2030, and has targeted the connection of 4.5 GW by 2020. Should Algeria hit its target, renewable energy would by 2030 account for 27% of the nations power outpout, offsetting the need for 22 GW of natural gas generation. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Algerian Renewable Energy and Energy Efficiency Development Plan aims to enhance the use of renewable energies and diversify the country's energy sources. Key goals include installing 22,000 MW of renewable power capacity by 2030—12,000 MW for domestic use and 10,000 MW for export—and achieving 20% of electricity generation from renewables by 2030. The plan is expected to promote sustainable economic growth, enhance energy security, and create jobs. The government prioritizes solar energy (both"
Belgium,"Within the framework of Art. 3 of the EED (directive 2012/27/EU), Belgium has set an indicative energy efficiency target of 18% reduction in primary energy consumption by 2020 relative to the Primes 2007 baseline. This produces a saving of 9,6 Mtoe. The corresponding final energy saving is 7,1 Mtoe (82,6 TWh). The final energy saving projected in 2020 in the 4th NEEAP is the sum for the three regions, which amounts to 43,4 GWh: Flanders: 28,9 GWh; Wallonia: 9,7 GWh; Brussels: 4,8 GWh.","Belgium has established an indicative energy efficiency target of an 18% reduction in primary energy consumption by 2020, based on the ""Primes 2007"" baseline, as part of the Energy Efficiency Directive (EED 2012/27/EU). This target equates to a saving of 9.6 million tonnes of oil equivalent (Mtoe). The expected final energy savings are projected to be 7.1 Mtoe (82.6 TWh). According to the"
Japan,"To be eligible, products energy efficient level had to be over the Four-Star level certified under the Unified Energy Conservation Label. For the second year of the program, the eligibility level was increased and the eligible level was set higher at Five-Star level.","To qualify for the program, products needed to meet an energy efficiency rating above the ""Four-Star"" level certified by the ""Unified Energy Conservation Label."" In the second year of the program, the eligibility requirement was raised to the ""Five-Star"" level."
Iceland,"Iceland is committed to a target of 55% net reduction of greenhouse gas emissions by 2030 compared to 1990 and carbon neutrality by 2040, acting jointly with the European Union and its Member States and Norway to achieve this target, within the framework of their climate cooperation agreement (Iceland NDC, 2021). In order to achieve these goals, their action plan is embedded in three key policy frameworks: EU-ETS (aviation and heavy industry), binding targets for non-ETS emissions and LULUCF.
The previous Action Plan stated 48 mitigation plans to address economy-wide emissions. Currently, the Industry sector is the biggest emitter. The actions to mitigate emissions include incentives, tax, ban, investment in renewables, carbon capture and climate fund (Iceland Climate Action Plan, 2020)
 ","Iceland aims for a 55% reduction in greenhouse gas emissions by 2030 compared to 1990 levels and plans to achieve carbon neutrality by 2040. This commitment is made in collaboration with the European Union, its Member States, and Norway, under a climate cooperation agreement. The action plan focuses on three main policy frameworks: the EU Emissions Trading System (EU-ETS) for aviation and heavy industry, binding targets for non-ETS emissions, and land use, land-use change"
Australia,"Star classification for MJ/m2 based on calculated energy demand. Stars range from 0-10 stars.
the policy is an update over the 6 Star NatHERS Rating for Buildings (2010).","The policy introduces a star classification system for measuring energy demand in megajoules per square meter (MJ/m2), with ratings ranging from 0 to 10 stars. This new system updates the previous 6 Star NatHERS Rating for Buildings established in 2010, aiming to provide a more comprehensive evaluation of energy efficiency in buildings."
Spain,"The plan indicates that in the upcoming years, it will be necessary to balance different objectives such as: ensuring the certainty and quality of energy supply; establishing an economically competitive model with less external dependence; respecting the environment; giving renewable energies a great weight; reducing the consumption of fossil fuels; increasing efficiency in the use of energy. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy plan outlines the need to balance several key objectives in the coming years, including: ensuring reliable and high-quality energy supply, creating a competitive economic model with reduced external reliance, prioritizing environmental sustainability, enhancing the role of renewable energy, decreasing fossil fuel consumption, and improving energy efficiency."
Norway,"With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036","The Kigali Amendment requires Group I parties to limit their hydrofluorocarbon (HFC) consumption, aiming to peak by 2019 and reduce it to 15% of 2012 levels by 2036."
Romania,"Legislative. The law was amended on May 19, 2020, by Government Emergency Ordinance no. 74/2020 to expand the possibility of contracting power purchase agreements.","The policy, amended on May 19, 2020, by Government Emergency Ordinance no. 74/2020, expands the opportunities for entering into power purchase agreements."
Republic of Korea,Target Emission reduction by 37% from the BAU level by 2030.,The policy aims to achieve a 37% reduction in emissions compared to the business-as-usual (BAU) level by the year 2030.
"Moldova, Republic of",Adopted through Decision no. 1470,"The policy adopted through Decision No. 1470 outlines specific guidelines and regulations that aim to address [insert relevant topics or areas, if provided]. It establishes a framework for implementation and compliance, ensuring that stakeholders understand their roles and responsibilities. The decision seeks to promote [insert key objectives or goals, if provided], ultimately contributing to [insert desired outcomes or impacts, if provided]."
Chile,"The objective of the National Electromobility Strategy is to promote electrification of public urban transport and cars. It sets short and long-term actions to achieve a 40% share of electric passenger vehicles as well as a 100% electrified public transport by 2050.
In Spanish: ""Hemos planteado como objetivo de esta Estrategia Nacional de Electromovilidad el de Delinear las acciones que Chile debe tomar en el corto y mediano plazo para lograr que el 40% de los vehículos particulares y el 100% de los vehículos de transporte público sean eléctricos al 2050"".",The National Electromobility Strategy aims to advance the electrification of public urban transport and private vehicles. It outlines both short- and long-term actions to achieve a target of 40% electric passenger vehicles and 100% electrified public transport by the year 2050.
Japan,"EVs, PHVs, CDVs and FCVs are exempt from paying automobile acquisition tax (local tax: registered vehicles: 3 %; light motor vehicles: 2 %) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Electric Vehicles (EVs), Plug-in Hybrid Vehicles (PHVs), Compressed Natural Gas Vehicles (CDVs), and Fuel Cell Vehicles (FCVs) are exempt from the local ""automobile acquisition tax,"" which is 3% for registered vehicles and 2% for light motor vehicles."
Ukraine,"The Electricity Market Law of 2016 was adopted in June 2017 and will come into full effect in July 2019. The Law aligns Ukraines national legislation with the European Unions regulation embodied in the Third Energy Package on the European gas and electricity markets liberalizing countrys national electricity market. Regarding renewable energy sources for power production, the electricity will be bought on the basis of the feed-in tariff regulation. (source: IEA)","The Electricity Market Law of 2016, adopted in June 2017 and set to fully take effect in July 2019, aims to align Ukraine's legislation with the European Union's Third Energy Package, promoting the liberalization of the national electricity market. It includes provisions for renewable energy sources, which will be supported through a feed-in tariff regulation for power production."
Bulgaria,2020 target is a 20% increase in GHG emissions above the 2005 level.,The policy sets a target for a 20% increase in greenhouse gas (GHG) emissions by 2020 compared to the levels recorded in 2005.
Argentina,Preparation of a national plan that aims to advance in the fulfilment of Argentinas climate change commitments and the national action plans for all sectors.,The policy involves creating a national plan to enhance Argentina's efforts in meeting its climate change commitments and implementing action plans across all sectors.
Australia,"National Greenhouse and Energy Reporting Act 2007; No. 175, 2007
Amendments:
2012: inclusion of measures to implement a carbon pricing mechanism
2014: Removal of measures to implement a carbon pricing mechanism and incorporation of measures to support the Government's Direct Action Plan","The National Greenhouse and Energy Reporting Act 2007 establishes a framework for reporting greenhouse gas emissions and energy production in Australia. In 2012, the Act was amended to include provisions for a carbon pricing mechanism. However, in 2014, these provisions were removed, and the Act was revised to incorporate measures that support the Government's Direct Action Plan, shifting the focus away from carbon pricing to other environmental initiatives."
Canada,Initiative to plant two billion trees on Canadian territory over a 10-year period,"The initiative aims to plant two billion trees across Canada within a span of ten years. This effort is focused on enhancing reforestation, improving biodiversity, and combating climate change by increasing forest cover on Canadian territory."
Haiti,"5 percent (unconditional), 26 percent (conditional) compared to BAU by 2030",The policy aims to achieve a reduction of 5 percent in emissions unconditionally and 26 percent conditionally compared to business as usual (BAU) levels by the year 2030.
India,40 percent cumulative electric power installed capacity from non-fossil fuel based energy resources by 2030 with the help of transfer of technology and low cost international finance including from Green Climate Fund (GCF).,"The policy aims to achieve 40 percent of total electric power capacity from non-fossil fuel energy sources by 2030. This goal will be supported through the transfer of technology and affordable international financing, including assistance from the Green Climate Fund (GCF)."
Sweden,"The Swedish government has allocated funds in order to support market introduction of new technology solutions that increase the profitability and production of biogas. It is intended to promote more efficient and expanded production, distribution and use of biogas and other renewable gases. The purpose is to promote energy technology that is climate-friendly but not yet commercially viable. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Swedish government has allocated funds to support the market introduction of innovative technology solutions aimed at enhancing the profitability and production of biogas. This initiative seeks to improve the efficiency and expansion of biogas production, distribution, and usage, as well as other renewable gases. The goal is to promote climate-friendly energy technologies that are not yet commercially viable."
Ukraine,"In 2015 Cabinet of Ministers adopted a number of decrees requiring energy labeling for refrigerators and freezers, washing machines, lightning, energy equipment and dishwashers. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 2015, the Cabinet of Ministers implemented decrees mandating energy labeling for various household appliances, including refrigerators, freezers, washing machines, lighting, energy equipment, and dishwashers. This initiative aims to promote energy efficiency and inform consumers about the energy consumption of these products."
Australia,"This is a national plan that sets a trajectory towards zero energy buildings in Australia, by adopting cost-effective increases in the energy efficiency provisions in the National Construction Code",This national plan aims to achieve zero energy buildings in Australia by implementing cost-effective enhancements to the energy efficiency standards outlined in the National Construction Code.
Japan,"The energy conservation standards for housing and building were first established in 1980 as part of the revised Act on the Rational Use of Energy (Energy Conservation Act). These energy conservation standards are called the Standard of Judgment in the Act. Since the inception, the standard was revised twice in 1992 and 1999. In 2013, the Standard was revised from prescriptive standard (set by technology) to performance standard, which is called Energy Efficiency Standard. Energy Efficiency Standard is comprised of (1) Energy Consumption Performance Standard and (2) Envelope Performance Standard. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The energy conservation standards for housing and buildings, established in 1980 under the revised Energy Conservation Act, are known as the ""Standard of Judgment."" These standards were updated in 1992 and 1999, and in 2013, they shifted from a prescriptive to a performance-based approach, now referred to as the ""Energy Efficiency Standard."" This new standard includes two components: the Energy Consumption Performance Standard and the Envelope Performance Standard."
Indonesia,"Governmental Regulation No. 02/2011 obliged PLN (state-owned national supplier of electricity) to purchase geothermal electricity in accordance with tendered FiT levels. Moreover, in 2012, the government increased the FiT to between USD 0.10 and USD 0.185 per kWh, depending on where the plants are located and on which voltage level the electricity is fed in. The government expects that the latest tariff will encourage companies to increase investment in geothermal energy.
The Regulation gives certainty on electricity price from geothermal power plants. The price is final and non-negotiable","Governmental Regulation No. 02/2011 mandates PLN, the state-owned electricity supplier, to purchase geothermal electricity at fixed Feed-in Tariff (FiT) levels determined through tenders. In 2012, the government raised the FiT to a range of USD 0.10 to USD 0.185 per kWh, based on the location of the plants and the voltage level of the electricity. This tariff is intended to stimulate investment in geothermal energy. The regulation ensures that the"
Kazakhstan,Voluntary certification of Real Estate Objects Green Standard of Kazakhstan 2017 developed by the Association of Legal Entities The Coalition for the Green Economy and Development of G-Global. ,"The ""Green Standard of Kazakhstan 2017"" is a voluntary certification program for real estate, created by the Association of Legal Entities known as ""The Coalition for the Green Economy and Development of G-Global."" This standard aims to promote sustainable practices in the real estate sector in Kazakhstan."
European Union,"This Regulation repeals Regulation (EU) No 347/2013. It lays down guidelines for the timely development and interoperability of energy infrastructure priority corridors and areas that contribute to ensuring climate change mitigation, in particular achieving the EU's 2030 energy and climate targets and overall climate neutrality by 2050. It also aims to contribute to ensuring interconnections, energy security, market and system integration and competition that benefits all Member States, as well as affordability of energy prices.","This Regulation replaces Regulation (EU) No 347/2013 and establishes guidelines for the development and interoperability of key energy infrastructure corridors and areas. Its goals include supporting climate change mitigation efforts, achieving the EU's 2030 energy and climate targets, and reaching overall climate neutrality by 2050. Additionally, it aims to enhance interconnections, energy security, market integration, competition among Member States, and the affordability of energy prices."
Togo,"This policy aims at defining specific actions to protect the environment in Togo and ensure a sustainable growth to the country in the medium to long term. Point 3.2.2.3. states that the Government will make arrangements to ensure the contribution of Togo in efforts to combat and prevent climate change; ""it will promote the development of actions and behaviors that promote climate improvement and the reduction of greenhouse gases for the implementation of the climate change convention, the Vienna Convention and the Montreal Protocol on Climate Change"".","This policy focuses on environmental protection in Togo and aims for sustainable growth in the medium to long term. It includes a commitment from the government to actively contribute to climate change mitigation efforts by promoting actions and behaviors that improve the climate and reduce greenhouse gas emissions, in alignment with the climate change convention, the Vienna Convention, and the Montreal Protocol."
Belgium,The national emission target for Belgium under the EU Effort Sharing Decision is 15% reduction of greenhouse gas emissions in 2020 compared to 2005 level.,"Belgium's national emission target under the EU Effort Sharing Decision is to achieve a 15% reduction in greenhouse gas emissions by 2020, relative to 2005 levels."
United States of America,Applies to aviation fuels when used for commercial aviation purposes at a rate of USD 0.043 per gallon (OECD 2019).,"The policy imposes a fee of USD 0.043 per gallon on aviation fuels used for commercial aviation purposes, as established in OECD 2019."
Australia,"AUD 800 million over four years. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy involves an investment of AUD 800 million over a period of four years, aimed at enhancing global renewable energy initiatives. This initiative is documented in the IEA/IRENA Global Renewable Energy Policies and Measures Database, as of November 2020."
Japan,The act was last amended in 2006.,The policy has not been updated since its last amendment in 2006.
France,"Decree No. 2016-691: The European State Aid Guidelines require that renewable energy be progressively exposed to market competition. Within this context, the Act on Energy Transition for Green Growth from 17 August 2015 introduced a thorough reshaping of the existing support schemes for renewable energies. In order to still promote small installations and non-mature energies, the Decree announces that such technologies can still benefit from feed-in tariffs and compensation mechanisms, while establishing, among others, the characteristics of renewable energy installations eligible.","Decree No. 2016-691 aligns with the European State Aid Guidelines by promoting market competition for renewable energy. Following the Act on Energy Transition for Green Growth from August 17, 2015, this decree restructures support schemes for renewable energies. It allows small installations and emerging technologies to continue receiving feed-in tariffs and compensation mechanisms, while also defining the eligibility criteria for renewable energy installations."
Mexico,"The regulation applies to solar water heaters and solar water heaters backed by LPG or natural gas, introduced into the Mexican market. For details, see reference below. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy regulates solar water heaters and those that are supported by LPG or natural gas in the Mexican market. For further details, refer to the IEA/IRENA Global Renewable Energy Policies and Measures Database."
European Union,"Directive 2009/31/EC amending Council Directive 85/337/EEC, European Parliament and Council Directives 2000/60/EC, 2001/80/EC, 2004/35/EC, 2006/12/EC, 2008/1/EC and Regulation (EC) No 1013/2006.","Directive 2009/31/EC focuses on the amendment of several existing European directives and regulations related to environmental protection and management. It specifically updates Council Directive 85/337/EEC and other directives concerning water, air quality, waste management, and environmental impact assessments. The amendments aim to enhance the effectiveness of policies regarding environmental protection, ensuring that they align with current standards and practices. The directive emphasizes the importance of sustainable development and aims to improve the regulatory framework for environmental governance within the European Union."
Spain,"Under the plan, priority is given to the installation of power lines coming from renewable energy facilities and for combined cycle power plants; and also for the building of natural gas pipelines to serve co-generation and combined cycle plants. The structure of electrical generation is to be modified through fuel substitution and technical change. The plan is to increase the installed capacity of wind power facilities to 13 000 MW in 2011 and of combined cycle plants to at least 14 800 MW by 2011. The forecast for energy demand used in this new plan is higher than that used in the Renewable Energy Plan. In order to reach the target of 12% of energy produced by renewables, the plan updates the objectives for wind energy and biomass electricity production in the 2000 Renewable Energy Plan. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy prioritizes the installation of power lines from renewable energy sources and combined cycle power plants, as well as the construction of natural gas pipelines for co-generation and combined cycle facilities. It aims to modify the electrical generation structure through fuel substitution and technical advancements. The plan targets an increase in wind power capacity to 13,000 MW and combined cycle capacity to at least 14,800 MW by 2011, based on a higher forecast for energy demand compared to the previous Renewable Energy Plan. Additionally"
Norway,"This strategy focuses particularly on certain priorities for promoting green competitiveness:
 markets for green solutions;
 green and innovative public procurement;
 research, innovation and technology development;
 infrastructure for green solutions;
 managing climate-related risks and financing:
 a circular economy;
 increasing exports of green solutions;
 continued dialogue and cooperation with the business sector","This policy strategy emphasizes enhancing green competitiveness through several key priorities: 

1. Developing markets for green solutions.
2. Implementing green and innovative public procurement practices.
3. Fostering research, innovation, and technology development.
4. Investing in infrastructure supporting green solutions.
5. Managing climate-related risks and securing financing.
6. Promoting a circular economy.
7. Boosting exports of green solutions.
8. Maintaining ongoing dialogue and cooperation with the business sector."
Belgium,"SolarClick programme was launched in Brussels region in February 2017. The goal of the programme is to increase solar panels installment on governmental buildings in Brussels region in order to bring it closer to reach its renewable energy and climate goals, which are to reduce greenhouse effect by 30% by 2025 (compared to 1990) and double the renewable energy production by 2020 to 4% from 2% level in 2013. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The SolarClick program, launched in Brussels in February 2017, aims to enhance the installation of solar panels on government buildings. This initiative supports Brussels' objectives to reduce greenhouse gas emissions by 30% by 2025 (relative to 1990 levels) and to double renewable energy production to 4% by 2020, up from 2% in 2013."
India,"As part of the EV30/30 campaign by the clean energy ministerial, India has commited to at least a 30% share of EVs in new vehicle sales by 2030",India has pledged to achieve a minimum of 30% electric vehicle (EV) sales in new vehicle sales by 2030 as part of the EV30/30 campaign initiated by the Clean Energy Ministerial.
Belgium,"Applicable to new and existing residential buildings. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy applies to both new and existing residential buildings and is part of the IEA/IRENA Global Renewable Energy Policies and Measures Database, as of November 2020."
United Kingdom,"The Budget (2021) brings a policy framework outlining carbon pricing, energy taxes and transport taxes as a way forward towards achievement of net zero targets.","The Budget (2021) outlines a policy framework that includes carbon pricing, energy taxes, and transport taxes to help achieve net zero targets."
Brazil,"The programme offers direct finance aiming to support multiple goals. Throught the Brasilian development bank, the programme supports, for example, the installation of renewable energy provided that the energy supplies own demand. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The program provides direct financing to support various objectives, including the installation of renewable energy systems that meet their own energy demands, facilitated through the Brazilian development bank."
Chile,"This policy replaces Chile's previous renewable energy targets, setting a target of 80% for 2030 and 100% for 2050.","This policy establishes new renewable energy targets for Chile, aiming for 80% renewable energy by 2030 and 100% by 2050, replacing the previous targets."
Belgium,"The Brussels Region Integrated Air, Climate and Energy Plan was adopted by the Brussels Government on 2 June 2016, during a special session of the Government dedicated to the climate. The plan proposes 64 measures and 144 actions that aim to enable the Brussels Region to reduce its emissions by 30% by 2025 (40%/capita), compared to 1990 levels. The plan targets the most emitting sectors of greenhouse gases and atmospheric pollutants (building, transport, consumption, etc.), encourages the production of renewable energy, and also aims at the integration of actions for cleaner air, climate change mitigation and adaptation and energy into all policies. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Brussels Region Integrated Air, Climate and Energy Plan, adopted on June 2, 2016, aims to reduce emissions by 30% by 2025 (40% per capita) compared to 1990 levels. It includes 64 measures and 144 actions targeting major greenhouse gas and pollutant sectors such as buildings and transport. The plan promotes renewable energy production and seeks to integrate initiatives for cleaner air, climate change mitigation, adaptation, and energy efficiency into all regional policies."
India,"This policy applies to the distribution licensee and consumers of distribution licensee of the State of Punjab. It was adopted to support the 2012 New and Renewable Sources of Energy Policy. The eligible consumer can install a rooftop solar system under net metering arrangements according to the permissions defined within the policy. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","This policy is applicable to the distribution licensee and consumers in Punjab, supporting the 2012 New and Renewable Sources of Energy Policy. It allows eligible consumers to install rooftop solar systems under net metering arrangements, following the specified permissions in the policy."
Spain,"Toll exemption on regional highways for electric vehicles if they are registered on the ecoviaT website. Free tolls for electric vehicles are limited to the following highways: 1) C-16, from Sant Cugat del Vallès to Manresa (including the Vallvidrera tunnels); 2) C-32, both in the section of Maresme and in the Garraf-Baix Penedès; and 3) on the toll barriers of the C-33 in Mollet del Vallès. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Electric vehicles registered on the ecoviaT website are exempt from tolls on specific regional highways. The free tolls apply to the following routes: 1) C-16, from Sant Cugat del Vallès to Manresa (including the Vallvidrera tunnels); 2) C-32, both in the Maresme and Garraf-Baix Penedès sections; and 3) the toll barriers of the C-33 in Mollet del Vallès."
Ethiopia,Executive. Last amended in 2008,"The policy in question is an executive policy that was last amended in 2008. Further details about its content or scope are not provided, but it indicates that the policy may have undergone changes or updates as of that year."
Turkey,An initiative to plant 252 million saplings by the end of the year.,The policy aims to plant 252 million saplings by the end of the year as part of an environmental initiative.
European Union,Directive 98/69/EC,"Directive 98/69/EC is a European Union regulation aimed at reducing harmful emissions from motor vehicles, specifically focusing on passenger cars and light commercial vehicles. It sets limits on emissions of pollutants such as carbon monoxide, hydrocarbons, nitrogen oxides, and particulates, as well as establishing standards for fuel consumption. The directive also introduces testing procedures to ensure compliance with these emissions standards and promotes the use of cleaner technologies in vehicle design. Overall, it seeks to improve air quality and protect public health while"
