country,policy_description
Norway,"The ENERGIX-programme provides funding for research on renewable energy, efficient use of energy, energy systems and energy policy. The programme is a key instrument in the implementation of Norway national RD&D strategy, Energi21, as well as for achieving other energy policy objectives. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,EVs cannot be charged more than 50% the fare payed by fossil-fuel cars on toll roads.
United Kingdom,This is a subsidy scheme aimed at incentivizing the uptake of heat pumps. It offers grants of up to 5000 pounds for homeowners choosing to replace fossil fuel boilers with efficient low-carbon heat pumps.
United Kingdom,"10% of energy used in transport by 2020.
20% of energy use from renewables."
Norway,"The Norwegian State Housing Bank offers financial incentives for new homes incorporating non-electric heating technologies. Loans are available for builders to incorporate technologies such as heat pumps, solar systems and biofuel boilers in new construction. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"These Regulations amend The Motor Fuel Regulations of 1999 requiring the introduction of E10 petrol (petrol with up to 10% ethanol) at filling stations. The amendment to the Biofuel (Labelling) Regulations of 2004 changes the consumer message that must be displayed when E10 petrol is sold and replace references to European Directive 98/70/EC.
Switching to E10 can reduce the CO2 emissions from a petrol vehicle by around 2%."
Norway,"This act seeks to promote the implementation of Norway’s climate targets as part of its process of transformation to a low-emission society by 2050.
Through the Climate Change Act, Norway commits to reduce emissions of greenhouse gases by at least 40% by 2030 compared with a 1990 baseline (economy-wide).
Norway also aims to become a low-emission society by 2050, by achieving ""reductions of greenhouse gas emissions of the order of 80–95 % from the level in the reference year 1990""."
Norway,"Enova SF grants investment aid to promote innovative energy systems with increased flexibility and energy efficiency. Enova also grants investment aid to build new or extend existing district heating and cooling infrastructure. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Norway financed a project for the reduction of CO 2 emissions in Slovakia, then hoping that future refinement of the Kyoto Protocol would enable the reduction to be credited toward Norways Kyoto commitment. Environment ministers from each country agreed that Norway would contribute NOK 1.2 million to modernise two district heating systems in Slovakia through the replacement of coal and natural gas with bioenergy. While the net reduction in CO 2 emissions was expected to be only 50,000 metric tons over 30 years, both ministers expressed hope for expanded co-operation on these matters in years to come. The agreement with Slovakia arrived in addition to similar Norwegian agreements with Poland, Mexico, Burkina Faso, Costa Rica and China. In 2002, Norway negotiated other such agreements with Romania, India, the Baltic States and Russia. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The National Energy Efficiency Data-Framework (NEED) was set up to provide a better understanding of energy use and energy efficiency in domestic and non-domestic buildings in Great Britain. The data framework matches gas and electricity consumption data, collected for BEIS sub-national energy consumption statistics, with information on energy efficiency measures installed in homes, from the Homes Energy Efficiency Database (HEED), Green Deal, the Energy Company Obligation (ECO) and the Feed-in Tariff scheme. It also includes data about property attributes and household characteristics, obtained from a range of sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"Ultra low emission vehicles (ULEVs) are usually defined as vehicles that emit less than 75g of carbon dioxide (CO2) for every kilometre travelled. They will typically include an electric powertrain. Both private and business users of ULEVs receive a number of tax benefits. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Executive
he Climate Settlement is officially known as “Recommendation of the Energy and Environment Committee: Climate Settlement, Innst. 390 S (2011-2012), based on the White Paper on Climate Efforts, Meld. St. 21 (2011-2012)”. This document reinforces the targets set out in the 2008 agreement on climate policy on transportation; construction; agriculture and carbon uptake by forests; and mainland industry and petroleum activities. Some of the core measures the document recommends to be adopted within these areas include:
• Create a climate and energy fund for development of technology and industrial transformation;
• Increase the offshore supply of electric power from the mainland, while safeguarding biological diversity;
• Increase state subsidies for investment in, and operation of, municipal public transportation and other environmentally-friendly forms of transportation;
• Adopt climate measures in agriculture and carbon removals in forests through active forest management;
• Maintain or increase the forest carbon stock through active, sustainable forest policies;
• Improve incentives for the use of bio-energy derived from wood (with emphasis on forest residues);
• Increase the mandatory sale of bio-fuels to 5%;
• Tighten the energy requirements in the building code to passive house level in 2015 and nearly zero energy level in 2020.
The settlement includes three main targets:
• In relation to the first commitment period of the Kyoto Protocol, Norway plans to exceed its commitment by 10%
• Norway plans to become carbon neutral by 2050. However, if an ambitious global climate agreement is entered into through which other industrialised countries commit to undertake large reductions in GHG emissions, Norway will bring forward this target to 2030
• By 2020 Norway plans to commit to reducing its GHG emissions to an equivalent of 30% of the 1990 emissions level (and up to 40% contingent on global action)
While emissions reductions can be carried out in Norway or abroad, the paper states that Norway will have a domestic reduction goal of two-thirds of GHG emissions."
Norway,"From January 1999, investments in new renewable energy, heat pumps, district heating, natural gas grids, small-scale hydropower plants (< 1 000 kW) and refurbishment of all hydropower plants were exempt from the 7% investment tax. The general investment tax was abolished in April 2002. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This strategy aims to decarbonize the UK's buildings heating sector by replacing gas boilers with heat pumps and increasing the rate of retrofits. It is based on five core principles:
1. To take a whole-buildings and whole-system approach to minimise costs of decarbonisation
2. Fostering innovation
3. Accelerate action now by prioritizing buildings with low energy performance through retrofiting
4. Providing the right long-term signals through regulatory changes
5. Supporting the transition for vulnerable households"
United Kingdom,"Salix Finance Ltd. provides interest-free Government funding to the public sector to improve energy efficiency, reduce carbon emissions and lower energy bills. Salix is funded by the Department for Business, Energy and Industrial Strategy, the Department for Education, the Welsh Government and the Scottish Government and was established in 2004 as an independent, publicly funded company, dedicated to providing the public sector with loans for energy efficiency projects. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Legislative
United Kingdom,"This policy sets out rules and requirements for the manufacturing of products involving fluorinated gases, with the goal of reducing levels by 80% in 2035. This will be achieved by phasing down the amount of F-gases that can be placed on the market through gradually reducing quotas for F-gas producers and importers; bans on certain F-gases in some applications; and strengthening of obligations on leak checks, repairs, recovery and training.
The F-gas Regulation is an EU-wide regulation, but a UK specific legislation covering F-gas emissions was passed in 2019, ensuring the continuation of emission reductions beyond the UK’s exit from the EU."
Norway,"Noway's LTS refers to its climate targets enshrined in its current Climate Change Act, which include a 90-95% reduction in GHG below 1990 by 2050."
United Kingdom,Executive
United Kingdom,This strategy sets out a framework for the UK to reach its goal of a net zero aviation sector by 2050. It includes a short term plan with priority actions to reach the long-term goal.
United Kingdom,Executive
United Kingdom,"The LEBS scheme was announced in April 2014. It aims to: increase the take up of low and ultra-low emission buses, speeding up the transition to an ultra-low emission bus fleet in this country; help improve local air quality in our towns and cities. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"In May 2018, the Norwegian Parliament adopted a resolution to halt emissions from cruise ships and ferries in the West Norwegian Fjords – Geirangerfjord and Nærøyfjord World Heritage site by 2026 at the latest.
This will foster the use of emissions-free ships and ferries in fjords."
United Kingdom,"Aligned with the Energy White Paper and Ten Point Plan, this document aims at 60Mt reduction of greenhouse gas emissions including 15Mt through the progressive decarbonisation of UK Continental Shelf production, investment up to £14-16 billion by 2030 in new energy technologies (e.g. hydrogen and CCUS) and supporting energy efficiency measures. 
The North Sea Transition Deal, will enable the oil and gas sector to drive the energy transition, securing jobs and supporting decarbonisation of industries and the whole supply chain across the UK."
Norway,"In April 2007, the Norwegian Prime Minister Jens Stoltenberg announced the governments intention to make Norway carbon neutral by 2050, marking the first time any country had made such a commitment. The goal would be reached through a combination of expanding carbon capture and storage and buying emission credits internationally. Mr Stoltenberg declared two further targets: Norway would exceed its Kyoto protocol target by ten percentage points and unilaterally cut emissions by 30% compared to 1990 levels by 2020. Norways Kyoto target is to restrict emission rises to 1% above 1990 levels during 2008-2012. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay. Vehicle tax for the first year is based on CO2 emissions. After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are: £140 a year for petrol or diesel vehicles; £130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG); £0 a year for vehicles with zero CO2 emissions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Nature Markets Policy Framework aims to boost private investment in nature recovery and sustainable farming. It outlines measures to guide and support the development of nature markets, emphasizing integrity and principles to foster trust and confidence, crucial for sustainable market growth."
United Kingdom,"This stategy sets out a framework to decarbonize the UK's transport sector. It includes several commitments, such as:
1. Increasing cycling and walking
2. Increasing the share of zero emissions buses: at least 4000 new zero emissions buses and associated infrastructure will be rolled out, with a phase-out date for ICE buses to be determined soon
3. Decarbonizing railways: the objective is to have a zero emissions railway network by 2050, and to remove all diesel-only trains from the network by 2040.
4. A zero emissions fleet of cars, vans, motorcycles and scooters: this includes an interim target of 25% of the government fleet being ultra-low emissions by 2022, and to a 100% by 2027. It includes plans for the development of the required charging infrastructure.
5. Accelerating maritime decarbonization
6. Accelerating aviation decarbonization"
Norway,"The Directive includes requirements on calculation of energy performance in buildings, minimum energy performance requirements for new and renovated buildings, energy certification of buildings and inspection of boilers and air condition systems. The National Office of Building Technology and Administration is the national authority responsible for implementing the Building Code. This includes developing technical regulations for energy need in buildings. Enova and the Norwegian Water Resources and Energy Directorate is responsible for implementing requirements for energy certification of buildings and inspection of boilers and air condition systems. From 1 July 2010 these provisions were fully in force. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,The regulation make provisions for carbon accounting rules for calculating the UK's 2019 carbon budget as mandated under the Climate Change Act 2008.
United Kingdom,"The National Energy Efficiency Action Plan sets out the UK's energy efficiency policy and programmes and action that will be taken to meet the targets and other legislative requirements of the EU Energy Effciency Directive and includes the Building Renovation Strategy also required by the Directive. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"One of the first net-zero neighborhood is to be built in Pontardawe, South Wales. The complex will be constituted of 35 homes, equipped with ""solar panels and energy-storing batteries, ground-source heat pumps and innovative ventilation systems""."
Norway,"Enova offers investment aid to implement energy efficiency measures in existing commercial and public buildings, including building cooperations. Enova also offers investment aid to full-scale demonstration projects involving new energy and climate technology under live operating conditions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom, Targets to deliver 10% of the UK’s electricity supply from renewable sources by 2010
United Kingdom,This strategy sets out key priorities and actions to support the UK's goal of decarbonizing transport and banning ICE vehicle sales by 2035
Norway,"In 2013, Transnova supported fast charging infrastructure with 6 million kroner (~720,000 million euros) (Tietge et al., 2016) . IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Enova offers investment aid to households undertaking energy efficiency measures, measures aimed at decreasing energy consumption or conversion from heating sources based on fossil fuels or electricity to a renewable source. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Enova offers investment aid to renewable heat production, which shall contribute to increased use of other energy carriers than electricity, natural gas and oil for heating. Enova has support programmes in place aimed at small heating plants and larger district heating plants. Enova also has a support programme directed towards industrial production of biogas. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,The national emission target for UK under the EU Effort Sharing Decision is 16% reduction of greenhouse gas emissions in 2020 compared to 2005 level.
United Kingdom,Legislative
Norway,"The building codes TEK17 introduce stricter limits for different categories of new and refurbished builds that became binding for all homeowners in 2017: 100 kWh/m2 for single houses, 95 kWh/m2 for apartments and 115 kWh/m2 for offices. (source: Climate Action Tracker)"
Norway,The strategy aims to make Norway the most sustainable mineral industry in the world.
United Kingdom,Executive
United Kingdom,The Order establishes a quota scheme for biofuels.
United Kingdom,"Eligible technologies: Aerothermal, Hydrothermal, Biogas, Biomass, Geothermal and Solar thermal"
United Kingdom,"Describes who is eligible to apply for the Electric Vehicle Homecharge Scheme and how to access it. This scheme is only available for chargepoints installed from January 2019. It replaces the previous version of the Electric Vehicle Homecharge Scheme and has been revised to include vehicles eligible under the Plug-in Taxi Grant. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Environmental Improvement Plan 2023, mandated by the Environment Act 2021, builds upon the 25 Year Environment Plan by outlining specific targets, commitments, and actions towards achieving its 10 goals, thus reinforcing the long-term vision for environmental health and sustainability."
United Kingdom,Legislative
Norway,"Enova offers investment aid to energy efficiency measures, conversion to the use of renewable energy sources and energy recovery in the industry. Enova also offers investment aid to full-scale demonstration projects involving new energy and climate technology under live operating conditions. Enova has a distinct responsibility for an initiative directed towards new energy and climate technology in the industry. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This long-term Strategy is designed to guide decision making between now and the middle of the century – over 30 years in the future. It sets two new targets for the Scottish energy system by 2030: • The equivalent of 50% of the energy for Scotland’s heat, transport and electricity consumption to be supplied from renewable sources; • An increase by 30% in the productivity of energy use across the Scottish economy."
United Kingdom,"The SME Loan provides unsecured, interest free loans from £1,000 up to £100,000 for the installation of energy efficient measures such as lighting and heating upgrades, double glazing, insulation and much more. Since its launch in 2008, the SME Loan has provided Scottish businesses with over £26,24 million in loans for over 968 projects, resulting in an estimated financial saving to businesses of over £48.02 million. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"In June 2001, the government released a White Paper on climate change, presenting policies and measures to reduce national emissions of GHGs. Particular emphasis was put on outlining a proposal for a broad domestic emissions trading system covering about 80% of the emissions from 2008, to be compatible with the international emissions trading system under the Kyoto Protocol. The system is based on the recommendations of the commission of experts appointed to devise an emissions trading system, although final decisions have not been made on all the issues discussed by the commission. As a general rule, the emissions quotas should be sold, but in order to avoid carbon leakage, it may be necessary to provide quotas free of charge for some industries for a limited period of time. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Low Emission Zone (LEZ) operates to encourage the most polluting heavy diesel vehicles driving in London to become cleaner. The LEZ covers most of Greater London and is in operation 24 hours a day, every day of the year."
United Kingdom,"The Government established ESOS to implement Article 8 (4 to 6) of the EU Energy Efficiency Directive (2012/27/EU). The ESOS Regulations 2014 give effect to the scheme. ESOS is a mandatory energy assessment scheme for organisations in the UK that meet the qualification criteria. The Environment Agency is the UK scheme administrator. Organisations that qualify for ESOS must carry out ESOS assessments every 4 years. These assessments are audits of the energy used by their buildings, industrial processes and transport to identify cost-effective energy saving measures. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The Emissions Trading bill was approved without amendments by the Parliament on 17 December 2004 and entered into force on 1 January 2005. The Norwegian Domestic Emissions Trading Scheme ran from 2005-07, and generally aligned itself with the EU Emissions Trading Scheme, covering only CO2 emissions. Industrial CO2 emitters are allocated a total amount of emissions, and reducing emissions generates credits which can be sold to other emitters needing more. The Scheme covered CO2 emissions from energy use and some industrial processes, and only covered installations not subject to the CO2 Tax (see separate entry) or special agreements on emissions reductions with the State Pollution Control Authority. According to this agreement, existing process industry plants agreed to commit themselves to a 20% reduction in all greenhouse gas (GHG) emissions by 2007, compared to 1990 levels. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"CO2 taxes on mineral oil, petrol and emissions from petroleum extraction on the continental shelf were introduced in 1991 to cost-efficiently limit greenhouse gas emissions"
Norway,"Introduced in 2022. incentivizes reduced inceneration of fossil materials, increased recycling of plastics and the implementation of CCS technology."
Norway,"The tax is supplemented with a refund scheme, which prescribes a similar refund when gas is destroyed. This has resulted in better maintenance and improved routines during discharge of old equipment."
Norway,Mineral oil for domestic aviation under the ETS is also subject to the CO2-tax on mineral products.
Norway,"Part of the EU Emissions Trading Scheme, see text for further details."
Norway,"Part of the EU Emissions Trading Scheme, see text for further details."
Norway,"The purpose of this Act is to protect the outdoor environment against pollution and to reduce existing pollution, to reduce the quantity of waste and to promote better waste management. The Act lays down a general prohibition against pollution unless one has a specific permission."
Norway,State act regulating the management of land use in Norway. Planning pursuant to the act shall ensure sustainable development and take climate into account. The building code (PaM no. 20) follows the planning- and building act.
Norway,Financial support to climate projects aiming for technology development or early market diffusion.
Norway,A financial support scheme to promote emissions reduction projects in Norwegian municipalities and counties. Reduces emissions at local level and contributes to the transition to a low carbon society.
Norway,The Environmental Technology Scheme offers grants and other support for development and investments in pilot and demonstration projects for new Norwegian environmental technology.
Norway,Nysnø invests in non-listed companies and funds aimed at non-listed companies that have operations in Norway. It focuses on early-stage companies and invests primarily in the transition from technology development to commercialisation.
Norway,"Coverage and rates changed since 1991, see text for further details."
Norway,"Phase in of vapour recovery units technology, see text for further details."
Norway,Installation of vapour recovery units. Regulations onshore are based on the Industrial Emission Directive (2010/75/EU) and corresponding BAT conclusion 2014/738/EU.
Norway,"CCS is a key tool for reducing global greenhouse gas emissions. Work in this field is focusing on the development of technology and ways of reducing costs. The government supports a full-scale CCS demonstration project, which consist of two capture sites in Norway, and transport and storage of CO2 at the continental shelf."
Norway,Tax on electricity consumpton
Norway,Excise duty on mineral oils
Norway,Norway and Sweden will increase their renewable electricity generation by 28.4 TWh from 2012 to the end of 2020 (an average of 3.2 TWh yr.)
Norway,Energy requirements in buildings to ensure more energy efficient buildings.
Norway,"The ban covers the use of mineral oil for both main heating (base load) and additional heating (peak load), in residential buildings, public buildings, commercial buildings, and for temporary heating og drying of materials in buildings under construction or alteration."
Norway,Monetary support schemes for converting to bioenergy.
Norway,Several policies affecting road traffic
Norway,"Excemption from registration tax and VAT for Evs. Reduced rate in annual motor vehicle tax. Other user advantages as free or low charges for toll roads, ferries and public parking."
Norway,"The road usage tax applies to petrol, mineral oil, biodiesel, bioethanol, natural gas and LPG"
Norway,"Registration tax is based on CO2 emissions, NOX emissions and weight. CO2 emissions included in 2007 - increasingly emphasised. Additional weight rebates for plug-in hybrids in the registration tax."
Norway,The Ministry of Climate and Environment entered into an arrangement with the processing industry.
Norway,"Excemption from registration tax and VAT for Evs. Reduced rate in annual motor vehicle tax. Other user advantages as free or low charges for toll roads, ferries and public parking."
Norway,"From January 1st 2021, the requirement is that effectively 15,5 % of total fuel sold to road traffic is biofuel, with a sub requirement that 9 % should be advanced biofuel. Advanced biofuel is double counted within the overall requirement, so that the previously reported 24,5% is effectively 15,5%."
Norway,"From January 1st 2020, 0,5 % of total fuel sales in aviation is required to be advanced biofuel."
Norway,Support scheme for increased use of zero emission equipment on construction sites for public transport infrastructure
Norway,"The 9 largest urban areas either have urban environment agreements, urban growth agreements or a reward scheme for public transport, which all share the same common goal of zero growth in passenger traffic by car."
Norway,Several policies effecting the sector single PaMs
Norway,Requirements for maximum CO2-emissions from the coastal route Bergen to Kirkenes.
Norway,Low- and zero emission criteria for ferries from 2023 where suitable
Norway,Shipowners may receive financial aid for operational costs or for investments costs over a three-year period in order to establish a sustainable maritime transport route.
Norway,"The Green Shipping Programme (GSP) is a public-private partnership working to reduce barriers for the introduction of low and zero emission solutions within the maritime sector. The program has initiated 28 green pilot projects since its beginning in 2015, and completed 8 of them. Since 2019, the programme has had a special focus on fleet renewal within the short shipping segments."
Norway,The national risk loan scheme for short sea shipping and fisheries will contribute to a more climate and environmentally friendly short sea shipping and fishing fleet by providing loans for investments in low and zero emission vessels.
Norway,Established with the aim of fomenting fleet renewal in a segment with little ability or incentives for green fleet renewal.
Norway,Financial support scheme dedicated to projects in county councils aiming at reducing emissions for high speed passenger vessels.
Norway,"Directed towards development of zero emission solutions for large ships sailing long distances. Funding will go to projects that will achieve new knowledge 
and develop new technologies and solutions, suitable for vessel segments and sailing distances which do not already have available zero emission solutions."
Norway,"1) Investment in railway infrastructure in the larger capital area, the so called InterCity-project. 2) Investment in specific infrastructure measures for freight transport."
Norway,"To improve conditions for rail freight operators, and to facilitate a shift from road to rail."
Norway,The Ministry of Climate and Environment entered into an agreement with the processing industry that was not covered by the EU ETS.
Norway,The purpose of this compensation scheme is to prevent carbon leakage from Europe resulting from increased electricity prices due to the EU Emissions Trading System (EU ETS).
Norway,The producers have voluntarily replaced some of the coal consumption with bio carbon
Norway,The producers have voluntarily installed abatement technology
Norway,The major aluminium producers signed an agreement with the Ministry of Climate and Environment to reduce emissions per tonne of aluminium produced. Emphasis on reducing the anode effect frequency and time.
Norway,Agreement between the Ministry of Climate and Environment and the business organisations representing most users of gas-insulated switchgear (GIS) and the single producer.
Norway,Implementation of the revised EU regulation No. 517/2014 and the Kigali Amendment to the Montreal Protocol.
Norway,Several support schemes that differ between regions. No-autumn tillage implemented in 2003 will be strengthened in 2023. Environmentally friendly spreading of manure implemented in 2012. Emission reductions through environmentally friendly spreading of manure and spreading of manure in the growing season instead of in autumn.
Norway,Keeping livestock on pasture may help abate emissions from manure management compared to keeping animal in confinement. Various requirements and support schemes differentiated between livestock category and pasture category.
Norway,"Several support schemes, of which storage of manure is mostly targeted to climate mitigation"
Norway,"National support scheme. As a side-effect, better drainage may also reduce GHG emissions."
Norway,Project to develop and maintain tools to quantify green house gas emissions from farms
Norway,"Develop knowledge which, among others, will contribute to reduced emissions on farm level"
Norway,Support scheme for delivery of manure. The goal is to increase the utilization of livestock manure to biogas production.
Norway,Avoid conversion of peatland into cropland (agriculture effect).
Norway,Increase the number of plants to an optimum level from a climate perspective to enhance net carbon sequestration
Norway,A grant scheme was  launched to support plant breeding. Genetically improvement means to single out robust plants which can improve growth and quality.
Norway,Fertilization can sustain or improve carbon sequestration where nitrogen scarcity in existing forest areas limits plant growth.
Norway,Planting trees on new areas to increase the carbon uptake
Norway,Tending of young stands is to select the most adapted tree species and optimize growth.
Norway,Treating stumbs after harvest to reduce the spread of tree rot to increase growth.
Norway,Regeneration with the tree species that gives the highest growth
Norway,Regulate the minimum harvesting age
Norway,Avoid conversion of peatland into cropland (LULUCF effect).
Norway,All landfills with biodegradable waste must have a system for extracting landfill gas
Norway,From 2002 landfilling of easy degradable organic waste was prohibited. This prohibition was replaced by the wider prohibition of depositing from 2009 that applies to all biodegradable waste
Norway,Agreements primarily to ensure that waste is collected and sent to approved treatment. Waste regulations for a number of waste fractions and a tax on beverage packaging. Tax on incineration up to 2010 and for landfills up to 2015.
Norway,"Includes consideration of low- and zero emission  requirements in public procurement for ferries and high speed vessels. Further includes consideration of low- and zero emission requirements for aquaculture industry and for offshore vessels in the petroleum industry. Lastly, it includes the proposed increased support  to Enova (PaM #9) as presented in the Støre Government climate status and plan of October 2022."
Norway,"CO2 taxes on mineral oil, petrol and emissions from petroleum extraction on the continental shelf were introduced in 1991. The effect of the current level of the taxes on emissions under the ESR is covered by #1. In the Støre Government's climate status and plan, it is stated that the government aims to increase the taxes on emissions under the ESR to 2 000 2020-NOK in 2030. This increase towards 2030 is covered by this PaM."
Norway,"The 2018 Climate Agreement for Agriculture sets out a target of reduced emissions and increased removals in agriculture of 5 million tonnes CO2-eq for the period 2021-2030. The target also includes contributions from buildings, transportation and land-use caused by the sector."
Norway,"Consists of 1) from January 1st 2023, the requirement is that 17 % of total fuel sold to road traffic is biofuel, with a sub requirement that 12,5 % should be A or B listed biofuel, 2) from January 1st 2023, the requirement is that 10 % of total off-road diesel sold is biofuel (A- or B-list) and 3) introduction of biofuel requirement for domestic shipping and fisheries from July 1st 2023 (."
